participant,run_id,trial,difficulty,D,time_total,time_to_grasp,placement_error,success,outcome,drops,cube_x,cube_y,cube_z,target_x,target_y,target_z
EXP_20260109_181653_E4C9D8,1,0,medium,0.5,46.335,20.084,0.042,1,success,0,0.4636,0.2887,0.3658,0.48,0.25,0.285
EXP_20260109_181653_E4C9D8,1,1,hard,0.593,54.887,25.206,0.0163,1,success,0,0.4637,0.2498,0.3529,0.48,0.25,0.285
EXP_20260109_181653_E4C9D8,1,2,medium,0.5,24.673,20.47,0.5001,0,missed_target,1,0.4802,-0.2501,0.2786,0.48,0.25,0.285
EXP_20260109_181653_E4C9D8,1,3,hard,0.593,59.503,26.355,0.0485,1,success,0,0.4516,0.2108,0.2861,0.48,0.25,0.285
EXP_20260109_181653_E4C9D8,1,4,easy,0.5135,44.92,18.916,0.0413,1,success,0,0.4405,0.238,0.3446,0.48,0.25,0.285
EXP_20260109_181653_E4C9D8,1,5,easy,0.5135,42.827,20.276,0.0613,1,success,0,0.4223,0.2706,0.3407,0.48,0.25,0.285
