participant,trial,factor,difficulty,D,time_total,time_to_grasp,placement_error,success,grasp_attempts,drops,cube_x,cube_y,cube_z,target_x,target_y,target_z
P01,0,transport_distance,easy,0.4,109.465,25.023,0.0326,1,7,1,0.4634,0.1222,0.2809,0.48,0.15,0.285
P01,0,transport_distance,easy,0.4,52.927,31.148,0.2443,1,1,0,0.4348,0.1548,0.525,0.48,0.15,0.285
P01,1,transport_distance,medium,0.5,87.364,87.364,0.5,1,1,0,0.48,-0.2499,0.28,0.48,0.25,0.285
P01,0,transport_distance,easy,0.4,93.314,69.862,0.0424,1,2,0,0.4384,0.158,0.4621,0.48,0.15,0.285
P01,1,transport_distance,medium,0.5,86.847,68.743,0.1249,1,4,0,0.5049,0.1276,0.4992,0.48,0.25,0.285
P01,0,transport_distance,easy,0.4,91.634,65.417,0.0486,1,3,0,0.4323,0.1592,0.6406,0.48,0.15,0.285
P01,1,transport_distance,medium,0.5,83.839,25.704,0.0467,1,4,1,0.4336,0.2442,0.5776,0.48,0.25,0.285
P01,0,transport_distance,easy,0.4,59.729,29.826,0.0527,1,1,0,0.4512,0.1941,0.4092,0.48,0.15,0.285
P01,0,transport_distance,easy,0.4,51.089,24.033,0.0298,1,1,0,0.4502,0.1507,0.3515,0.48,0.15,0.285
